Country/area,Yr1990,Yr1991,Yr1992,Yr1993,Yr1994,Yr1995,Yr1996,Yr1997,Yr1998,Yr1999,Yr2000,Yr2001,Yr2002,Yr2003,Yr2004,Yr2005,Yr2006,Yr2007,Yr2008,Yr2009,Yr2010,Yr2011,Yr2012,Yr2013,Yr2014,Yr2015,Yr2016,Yr2017,Yr2018,Yr2019,Yr2020,Yr2021
Afghanistan,17.75,18.05,18.26,18.39,18.34,18.08,18.46,19.1,20.04,20.62,20.76,21.18,22.04,23.47,24.61,25.37,26.17,27.72,29.74,31.25,32.08,33.06,34.3,35.85,36.98,37.32,37.85,38.52,39.16,39.43,41.16,42.68
Albania,52.83,52.8,53.1,54.12,55.56,57.46,59.16,59.38,58.49,58.09,58.32,58.67,58.45,57.93,58.27,59.26,60.57,61.55,62.33,62.87,63.23,63.26,62.83,62.26,62.06,62.2,62.98,63.77,64.65,65.17,63.68,66.63
Algeria,53.91,54.6,55.1,55.36,55.77,56.24,56.77,57.66,58.91,60.08,61.09,61.26,60.29,58.36,57.35,57.44,58.29,59.35,60.75,61.78,62.51,62.9,62.97,62.92,63.1,63.4,63.51,63.5,63.65,64.24,59.74,62.24
American Samoa,47.86,48.14,47.57,46.62,46.18,46.24,46.77,47.31,47.83,48.23,48.54,48.62,48.45,47.87,47.39,46.88,46.52,46.46,46.58,46.78,47.01,47.09,46.45,45.32,44.74,44.9,45.24,45.13,45.18,45.25,44.55,45.39
Andorra,74.71,74.7,74.85,75.29,76.2,77.34,78.56,79.53,80.41,80.95,81.11,81.55,82.42,83.84,84.9,85.55,85.66,85.61,85.4,85.21,85.21,85.12,85.33,85.7,85.97,86.11,86.45,87.05,87.48,87.72,84.68,86.97
Angola,20.41,20.85,21.57,22.55,23.14,23.19,24.06,25.1,26.55,27.44,27.6,28,28.47,29.15,29.79,30.14,31.14,32.54,34.41,35.76,36.57,37.05,37.07,36.83,36.91,37.18,37.75,37.94,38.24,38.71,38.6,40.2
Antigua and Barbuda,51.05,51.83,52.66,53.54,54.1,54.16,54.63,55.63,57.04,58.22,58.99,59.33,58.96,58.15,57.7,57.49,58.07,59.31,61.06,62.26,62.83,62.71,61.83,60.81,60.4,60.56,60.25,59.4,58.92,59.05,55.49,56.27
Argentina,45.09,45.49,46.48,47.32,48.26,49.17,50.23,51.22,52,52.5,53.13,53.48,54.01,54.4,54.67,55.45,56.04,56.41,56.98,57.64,57.9,58.08,58.14,58.03,58.1,58.82,59.88,60.99,61.72,61.86,57.93,61.31
Armenia,47.72,47.71,46.59,44.82,43.76,43.44,43.99,45.11,46.72,48.02,48.92,49.83,51,52.41,53.36,53.8,54.07,54.53,55.09,55.5,55.94,56.84,57.89,59.04,59.78,59.98,60.67,61.02,61.38,61.86,61.57,65.49
Australia,68.96,69.42,70.37,71.92,73.39,74.7,76.01,77.46,78.94,79.83,80.15,80.47,81.28,82.61,83.66,84.27,84.73,85.31,86.15,86.76,87.06,87.18,87.56,88.21,88.64,88.83,89.09,89.57,89.96,90.1,87.59,90.23
Austria,64.9,65.28,66.15,67.65,69.37,70.82,72.18,73.72,75.29,76.39,76.95,77.14,77.33,77.74,78.31,79.04,79.69,80.54,81.57,82.18,82.32,82.54,82.87,83.38,83.81,84.05,84.43,84.92,85.31,85.44,82.36,84.57
Azerbaijan,31.99,32.25,31.79,30.84,30.22,30.11,31.02,32.73,35.14,36.51,36.63,36.73,37.29,38.17,38.82,39.59,40.52,41.33,41.79,42.33,43.01,43.92,44.46,44.86,45.24,45.38,46.5,48.12,49.54,50.51,51.52,53.59
Bahamas,45.83,45.04,44.38,45.46,46.84,47.87,48.86,49.64,50.61,51.7,52.67,53.23,53.02,52.64,52.47,52.67,52.86,53.4,54.57,55.63,56.42,56.88,57.19,57.46,57.68,57.87,57.39,56.33,55.65,55.5,53.11,54.09
Bahrain,47.01,47.37,47.17,46.37,46.12,46.46,47.29,48.12,48.79,49.38,50,50.87,51.65,52.34,53.13,54.02,55.15,56.28,57.56,58.55,59.26,59.89,60.63,61.39,62.07,62.44,63.22,64.41,65.48,66.08,63.68,64.28
Bangladesh,36.6,37.26,38.34,39.7,40.89,41.74,42.59,43.26,43.99,44.68,45.16,45.63,45.49,44.91,44.84,45.37,46.44,47.27,47.87,48.61,49.39,50.24,50.83,51.38,52.1,53.11,52.91,51.8,50.91,51.32,45.93,53.26
